R_calc,spp,site,treatment,t-value Q10,t-value R25,Q10est,R25est,R25 stderror,Q10 stderror,R25 interval,Q10 interval,Q10 upper,Q10 lower,temp
R.area,G,NM,C,9.543,34.73,3.50807,1.11779,0.03218,0.3676,0.0630728,0.720496,4.228566,2.787574,25
R.area ,G,NM,W,9.333,32.187,2.77857,1.19434,0.03711,0.29771,0.0727356,0.5835116,3.3620816,2.1950584,25
R.mass ,G,NM,C,4.869,20.67,2.6049,4.5599,0.1342,0.2294,0.263032,0.449624,3.054524,2.155276,25
R.mass ,G,NM,W,4.342,16.313,3.8333,6.0999,0.3739,0.8829,0.732844,1.730484,5.563784,2.102816,25
R.area ,M,NM,C,7.785,22.879,1.62346,1.33301,0.05826,0.20855,0.1141896,0.408758,2.032218,1.214702,25
R.area ,M,NM,W,6.945,21.77,1.94065,1.35919,0.06243,0.27941,0.1223628,0.5476436,2.4882936,1.3930064,25
R.mass ,M,NM,C,12.26,34.01,1.3602,9.0842,0.2671,0.111,0.523516,0.21756,1.57776,1.14264,25
R.mass ,M,NM,W,12.69,36.86,1.5426,9.4143,0.2554,0.1215,0.500584,0.23814,1.78074,1.30446,25
R.area,G,BM,C,15.19,39.85,2.04313,1.07524,0.02699,0.13451,0.0529004,0.2636396,2.3067696,1.7794904,25
R.area ,G,BM,W,15.48,39.86,1.9777,1.1083,0.0278,0.1277,0.054488,0.250292,2.227992,1.727408,25
R.mass ,G,BM,C,10.24,27.55,2.1566,4.4396,0.1612,0.2107,0.315952,0.412972,2.569572,1.743628,25
R.mass ,G,BM,W,11.57,31.89,2.3323,4.5691,0.1433,0.2016,0.280868,0.395136,2.727436,1.937164,25
R.area ,M,BM,C,12.12,28.79,1.89079,1.4532,0.05047,0.15603,0.0989212,0.3058188,2.1966088,1.5849712,25
R.area ,M,BM,W,10.25,24.59,1.7326,1.3551,0.0551,0.1691,0.107996,0.331436,2.064036,1.401164,25
R.mass ,M,BM,C,18.52,37.24,1.31306,9.95102,0.26723,0.07091,0.5237708,0.1389836,1.4520436,1.1740764,25
