"","UserIDs_in","MoYr","X.x","intercept","CTleaf_out.slope","CTleaf2.slope","Date","rdref","q10","LMA_g.m2","R_calc","sDate","Site.x","Plot.x","Spp","Treatment.x","site","Species.x","ï..UserIDs_in","X..N..as.received","X..N.adjusted","Nmass..g.N.kg.1.","X.y","X.1","X.2","Site.y","Plot.y","Species.y","Treatment.y","Narea"
"1","BM1GC",2019-10-01,20,-0.550073205676791,0.063995579687218,0.000253760573257532,2019-10-25,3.34817909654976,2.15294373233588,270.3947,"R.mass","2019-10-25","BM","1","G","C","BM","G","BM1GC",1.7,1.88,18.83,NA,NA,NA,"BM","1","G","C",5.08342036
"2","BM1GC",2019-10-01,296,-1.85794574127393,0.063995579687218,0.000253760573257531,2019-10-25,0.905329882357844,2.15294373233588,270.3947,"R.area","2019-10-25","BM","1","G","C","BM","G","BM1GC",1.7,1.88,18.83,NA,NA,NA,"BM","1","G","C",5.08342036
"3","BM1GC",2019-12-01,204,0.322994820592158,0.0189620850957737,0.00095324179224194,2019-12-19,4.02620026192495,1.94690658652177,257.5137,"R.mass","2019-12-19","BM","1","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","BM1GC",2019-12-01,480,-1.03368753581797,0.0189620850957737,0.00095324179224194,2019-12-19,1.03680172638926,1.94690658652177,257.5137,"R.area","2019-12-19","BM","1","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","BM1GC",2020-02-01,456,-2.69877983310888,0.104928188036908,-0.000288487941031373,2020-02-13,0.774234797594134,2.47202563541057,257.7358,"R.area","2020-02-13","BM","1","G","C","BM","G","BM1GC",1.38,1.53,15.31,NA,NA,NA,"BM","1","G","C",3.94335774
"6","BM1GC",2020-02-01,180,-1.34295958336263,0.104928188036908,-0.000288487941031373,2020-02-13,3.00398624325427,2.47202563541057,257.7358,"R.mass","2020-02-13","BM","1","G","C","BM","G","BM1GC",1.38,1.53,15.31,NA,NA,NA,"BM","1","G","C",3.94335774
"7","BM1GC",2020-04-01,252,-0.429762855871823,0.0636195696296859,0.000343803368423149,2020-04-08,3.95746429307027,2.24363513921617,302.322307,"R.mass","2020-04-08","BM","1","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BM1GC",2020-04-01,528,-1.6260244448548,0.0636195696296853,0.000343803368423159,2020-04-08,1.19642973495113,2.24363513921616,302.322307,"R.area","2020-04-08","BM","1","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BM1GC",2020-06-01,324,-0.864243841509792,0.0207481951684066,0.000885448494352358,2020-06-14,1.23104862480577,1.91593585207484,209.6243,"R.area","2020-06-14","BM","1","G","C","BM","G","BM1GC",1.63,1.81,18.05,NA,NA,NA,"BM","1","G","C",3.79419983
"10","BM1GC",2020-06-01,48,0.698194556630912,0.0207481951684064,0.000885448494352361,2020-06-14,5.87264274612138,1.91593585207484,209.6243,"R.mass","2020-06-14","BM","1","G","C","BM","G","BM1GC",1.63,1.81,18.05,NA,NA,NA,"BM","1","G","C",3.79419983
"11","BM1GC",2020-07-01,132,0.23600354268175,0.0219770283528308,0.000868518056611011,2020-07-30,3.77444381051949,1.92327471099196,247.8117,"R.mass","2020-07-30","BM","1","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","BM1GC",2020-07-01,408,-1.15908255272359,0.0219770283528309,0.00086851805661101,2020-07-30,0.935351337239313,1.92327471099196,247.8117,"R.area","2020-07-30","BM","1","G","C","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","BM1GW",2019-10-01,295,-1.96706388140576,0.0808698784652548,-7.59431356697932e-05,2019-10-25,1.00724473747765,2.16133744335536,248.7401,"R.area","2019-10-25","BM","1","G","W","BM","G","BM1GW",1.74,1.94,19.36,NA,NA,NA,"BM","1","G","W",4.82555794
"14","BM1GW",2019-10-01,19,-0.575717178675351,0.0808698784652547,-7.59431356697908e-05,2019-10-25,4.04938623678951,2.16133744335536,248.7401,"R.mass","2019-10-25","BM","1","G","W","BM","G","BM1GW",1.74,1.94,19.36,NA,NA,NA,"BM","1","G","W",4.82555794
"15","BM1GW",2019-12-01,203,-0.27263682792398,0.0672854482229893,0.000207741784176061,2019-12-19,4.66150330037198,2.17434044378911,229.1963,"R.mass","2019-12-19","BM","1","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","BM1GW",2019-12-01,479,-1.74581326530228,0.0672854482229889,0.000207741784176069,2019-12-19,1.06839930888305,2.17434044378911,229.1963,"R.area","2019-12-19","BM","1","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","BM1GW",2020-02-01,179,-0.633715892553294,0.101839129301903,-0.000362044903758493,2020-02-13,5.39776120072788,2.31028025835969,267.2525,"R.mass","2020-02-13","BM","1","G","W","BM","G","BM1GW",1.62,1.8,18.01,NA,NA,NA,"BM","1","G","W",4.810545
"18","BM1GW",2020-02-01,455,-1.95327726713708,0.101839129301903,-0.000362044903758494,2020-02-13,1.44256517529753,2.31028025835969,267.2525,"R.area","2020-02-13","BM","1","G","W","BM","G","BM1GW",1.62,1.8,18.01,NA,NA,NA,"BM","1","G","W",4.810545
"19","BM1GW",2020-04-01,251,-0.132646102521787,0.056917727614563,0.000321033563076643,2020-04-08,4.4412819611802,2.07444584981162,255.9203,"R.mass","2020-04-08","BM","1","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","BM1GW",2020-04-01,527,-1.49553531362203,0.0569177276145638,0.00032103356307663,2020-04-08,1.13661421188983,2.07444584981162,255.9203,"R.area","2020-04-08","BM","1","G","W","BM","G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","BM1GW",2020-06-01,47,-0.0968289657397756,0.0773256392451954,-1.84846832817613e-05,2020-06-14,6.20130087343981,2.14687661956553,210.2587,"R.mass","2020-06-14","BM","1","G","W","BM","G","BM1GW",1.71,1.9,19.02,NA,NA,NA,"BM","1","G","W",3.9949153
